,Comments_youtube,Comments_CaseFolding,CharEmoNum_Remove,RemoveDoubleWord,tokenizing,Comments_stopwordfix,Stemming2
989,Giliran ditindak tegas nangis,giliran ditindak tegas nangis,giliran ditindak tegas nangis,giliran ditindak tegas nangis,"['giliran', 'ditindak', 'tegas', 'nangis']","['giliran', 'ditindak', 'nangis']","['gilir', 'tindak', 'nang']"
990,"Bila perlu cari drmana pendanaan mereka, ko bs mereka punya materi yg kuatapa asing yg membantu y","bila perlu cari drmana pendanaan mereka, ko bs mereka punya materi yg kuatapa asing yg membantu y",bila perlu cari drmana pendanaan mereka ko bs mereka punya materi yg kuatapa asing yg membantu y,bila perlu cari drmana pendanaan mereka ko bs punya materi yg kuatapa asing membantu y,"['bila', 'perlu', 'cari', 'drmana', 'pendanaan', 'mereka', 'ko', 'bs', 'punya', 'materi', 'yg', 'kuatapa', 'asing', 'membantu', 'y']","['cari', 'drmana', 'pendanaan', 'ko', 'bs', 'materi', 'yg', 'kuatapa', 'asing', 'membantu', 'y']","['cari', 'drmana', 'dana', 'ko', 'bs', 'materi', 'yg', 'kuatapa', 'asing', 'bantu', 'y']"
991,"Si sebi itu ada dmn??di luar negeri ya??enak enak dia dsna,di tanah papua disuruh perang saudara sama dia.rakyat di tembak,orang di iming2 untuk bergabung hanya untuk sesuap nasi.dianya menang banyak,dana dari negara2 yg pengen papua merdeka pasti dia embat dluan heheh andai rakyat papua bisa berpikir ke arah lebih tinggi ya..belajarlah dri timor leste,bgaiman mreka skr??bnyak asing yg disna dbandingkan org timor2 lokal","si sebi itu ada dmn??di luar negeri ya??enak enak dia dsna,di tanah papua disuruh perang saudara sama dia.rakyat di tembak,orang di iming2 untuk bergabung hanya untuk sesuap nasi.dianya menang banyak,dana dari negara2 yg pengen papua merdeka pasti dia embat dluan heheh andai rakyat papua bisa berpikir ke arah lebih tinggi ya..belajarlah dri timor leste,bgaiman mreka skr??bnyak asing yg disna dbandingkan org timor2 lokal",si sebi itu ada dmndi luar negeri yaenak enak dia dsnadi tanah papua disuruh perang saudara sama diarakyat di tembakorang di iming untuk bergabung hanya untuk sesuap nasidianya menang banyakdana dari negara yg pengen papua merdeka pasti dia embat dluan heheh andai rakyat papua bisa berpikir ke arah lebih tinggi yabelajarlah dri timor lestebgaiman mreka skrbnyak asing yg disna dbandingkan org timor lokal,si sebi itu ada dmndi luar negeri yaenak enak dia dsnadi tanah papua disuruh perang saudara sama diarakyat di tembakorang iming untuk bergabung hanya sesuap nasidianya menang banyakdana dari negara yg pengen merdeka pasti embat dluan heheh andai rakyat bisa berpikir ke arah lebih tinggi yabelajarlah dri timor lestebgaiman mreka skrbnyak asing disna dbandingkan org lokal,"['si', 'sebi', 'itu', 'ada', 'dmndi', 'luar', 'negeri', 'yaenak', 'enak', 'dia', 'dsnadi', 'tanah', 'papua', 'disuruh', 'perang', 'saudara', 'sama', 'diarakyat', 'di', 'tembakorang', 'iming', 'untuk', 'bergabung', 'hanya', 'sesuap', 'nasidianya', 'menang', 'banyakdana', 'dari', 'negara', 'yg', 'pengen', 'merdeka', 'pasti', 'embat', 'dluan', 'heheh', 'andai', 'rakyat', 'bisa', 'berpikir', 'ke', 'arah', 'lebih', 'tinggi', 'yabelajarlah', 'dri', 'timor', 'lestebgaiman', 'mreka', 'skrbnyak', 'asing', 'disna', 'dbandingkan', 'org', 'lokal']","['si', 'sebi', 'dmndi', 'negeri', 'yaenak', 'enak', 'dsnadi', 'tanah', 'papua', 'disuruh', 'perang', 'saudara', 'diarakyat', 'tembakorang', 'iming', 'bergabung', 'sesuap', 'nasidianya', 'menang', 'banyakdana', 'negara', 'yg', 'pengen', 'merdeka', 'embat', 'dluan', 'heheh', 'andai', 'rakyat', 'berpikir', 'arah', 'yabelajarlah', 'dri', 'timor', 'lestebgaiman', 'mreka', 'skrbnyak', 'asing', 'disna', 'dbandingkan', 'org', 'lokal']","['si', 'sebi', 'dmndi', 'negeri', 'yaenak', 'enak', 'dsnadi', 'tanah', 'papua', 'suruh', 'perang', 'saudara', 'diarakyat', 'tembakorang', 'iming', 'gabung', 'suap', 'nasidianya', 'menang', 'banyakdana', 'negara', 'yg', 'ken', 'merdeka', 'embat', 'dluan', 'heheh', 'andai', 'rakyat', 'pikir', 'arah', 'yabelajarlah', 'dri', 'timor', 'lestebgaiman', 'mreka', 'skrbnyak', 'asing', 'disna', 'dbandingkan', 'org', 'lokal']"
992,"Kan.... Kena mental, buat rusuh berani gagah. Disikat ngadu","kan.... kena mental, buat rusuh berani gagah. disikat ngadu",kan kena mental buat rusuh berani gagah disikat ngadu,kan kena mental buat rusuh berani gagah disikat ngadu,"['kan', 'kena', 'mental', 'buat', 'rusuh', 'berani', 'gagah', 'disikat', 'ngadu']","['kena', 'mental', 'rusuh', 'berani', 'gagah', 'disikat', 'ngadu']","['kena', 'mental', 'rusuh', 'berani', 'gagah', 'sikat', 'ngadu']"
993,"Uda abisin aja lh. 
Musingin aja.","uda abisin aja lh. 
musingin aja.","uda abisin aja lh 
musingin aja",uda abisin aja lh musingin,"['uda', 'abisin', 'aja', 'lh', 'musingin']","['uda', 'abisin', 'aja', 'lh', 'musingin']","['uda', 'abisin', 'aja', 'lh', 'musingin']"
994,Apa kalo bukan teroris.. Anak bertumbuk kah? Anjimm..,apa kalo bukan teroris.. anak bertumbuk kah? anjimm..,apa kalo bukan teroris anak bertumbuk kah anjimm,apa kalo bukan teroris anak bertumbuk kah anjimm,"['apa', 'kalo', 'bukan', 'teroris', 'anak', 'bertumbuk', 'kah', 'anjimm']","['kalo', 'teroris', 'anak', 'bertumbuk', 'kah', 'anjimm']","['kalo', 'teroris', 'anak', 'tumbuk', 'kah', 'anjimm']"
995,"Teroris tetap aja teroris tak pandang bulu suku maupun ras, beda klo rakyat Papua ya itu adalah bagian masyarakyat Indonesia yg wajib dilindungi negara dari aksi teror.
Jadi klo gmw dicap teroris ya jangan meneror rakyat, jangan membunuh rakyat, dan membuat gaduh memecah belah sebuah Bangsa","teroris tetap aja teroris tak pandang bulu suku maupun ras, beda klo rakyat papua ya itu adalah bagian masyarakyat indonesia yg wajib dilindungi negara dari aksi teror.
jadi klo gmw dicap teroris ya jangan meneror rakyat, jangan membunuh rakyat, dan membuat gaduh memecah belah sebuah bangsa","teroris tetap aja teroris tak pandang bulu suku maupun ras beda klo rakyat papua ya itu adalah bagian masyarakyat indonesia yg wajib dilindungi negara dari aksi teror
jadi klo gmw dicap teroris ya jangan meneror rakyat jangan membunuh rakyat dan membuat gaduh memecah belah sebuah bangsa",teroris tetap aja tak pandang bulu suku maupun ras beda klo rakyat papua ya itu adalah bagian masyarakyat indonesia yg wajib dilindungi negara dari aksi teror jadi gmw dicap jangan meneror membunuh dan membuat gaduh memecah belah sebuah bangsa,"['teroris', 'tetap', 'aja', 'tak', 'pandang', 'bulu', 'suku', 'maupun', 'ras', 'beda', 'klo', 'rakyat', 'papua', 'ya', 'itu', 'adalah', 'bagian', 'masyarakyat', 'indonesia', 'yg', 'wajib', 'dilindungi', 'negara', 'dari', 'aksi', 'teror', 'jadi', 'gmw', 'dicap', 'jangan', 'meneror', 'membunuh', 'dan', 'membuat', 'gaduh', 'memecah', 'belah', 'sebuah', 'bangsa']","['teroris', 'aja', 'pandang', 'bulu', 'suku', 'ras', 'beda', 'klo', 'rakyat', 'papua', 'ya', 'masyarakyat', 'indonesia', 'yg', 'wajib', 'dilindungi', 'negara', 'aksi', 'teror', 'gmw', 'dicap', 'meneror', 'membunuh', 'gaduh', 'memecah', 'belah', 'bangsa']","['teroris', 'aja', 'pandang', 'bulu', 'suku', 'ras', 'beda', 'klo', 'rakyat', 'papua', 'ya', 'masyarakyat', 'indonesia', 'yg', 'wajib', 'lindung', 'negara', 'aksi', 'teror', 'gmw', 'cap', 'teror', 'bunuh', 'gaduh', 'pecah', 'belah', 'bangsa']"
996,"Persoalan  yg  terjadi di  papua  sa at   ini tidak  perlu  sampai  ke  pengadilan  international   sebab    bukan  komplik  antar  negara ,,,,,   murni  kerusuhan  /  pemberontakan   dalam negeri    ole  beberapa  kel ompok  di  pulau   papua   yg masi   termasuk  kedaulatan  RI,,,, oleh sebab  itu. persoalanya  harus  di  selesaikan  pemerinta  RI,,,, PBB  tak perlu  ikut  campur   karena  papua  bukan  dlm  penindasan  perang ,  justru  mrk   yg  selalu  bikin    kerusuhan  dan mengganggu  masyarakat ,,,,,   KKB   orang 2  munafik  tidak  bisa  di percaya ,,,","persoalan  yg  terjadi di  papua  sa at   ini tidak  perlu  sampai  ke  pengadilan  international   sebab    bukan  komplik  antar  negara ,,,,,   murni  kerusuhan  /  pemberontakan   dalam negeri    ole  beberapa  kel ompok  di  pulau   papua   yg masi   termasuk  kedaulatan  ri,,,, oleh sebab  itu. persoalanya  harus  di  selesaikan  pemerinta  ri,,,, pbb  tak perlu  ikut  campur   karena  papua  bukan  dlm  penindasan  perang ,  justru  mrk   yg  selalu  bikin    kerusuhan  dan mengganggu  masyarakat ,,,,,   kkb   orang 2  munafik  tidak  bisa  di percaya ,,,",persoalan  yg  terjadi di  papua  sa at   ini tidak  perlu  sampai  ke  pengadilan  international   sebab    bukan  komplik  antar  negara    murni  kerusuhan    pemberontakan   dalam negeri    ole  beberapa  kel ompok  di  pulau   papua   yg masi   termasuk  kedaulatan  ri oleh sebab  itu persoalanya  harus  di  selesaikan  pemerinta  ri pbb  tak perlu  ikut  campur   karena  papua  bukan  dlm  penindasan  perang   justru  mrk   yg  selalu  bikin    kerusuhan  dan mengganggu  masyarakat    kkb   orang   munafik  tidak  bisa  di percaya ,persoalan yg terjadi di papua sa at ini tidak perlu sampai ke pengadilan international sebab bukan komplik antar negara murni kerusuhan pemberontakan dalam negeri ole beberapa kel ompok pulau masi termasuk kedaulatan ri oleh itu persoalanya harus selesaikan pemerinta pbb tak ikut campur karena dlm penindasan perang justru mrk selalu bikin dan mengganggu masyarakat kkb orang munafik bisa percaya,"['persoalan', 'yg', 'terjadi', 'di', 'papua', 'sa', 'at', 'ini', 'tidak', 'perlu', 'sampai', 'ke', 'pengadilan', 'international', 'sebab', 'bukan', 'komplik', 'antar', 'negara', 'murni', 'kerusuhan', 'pemberontakan', 'dalam', 'negeri', 'ole', 'beberapa', 'kel', 'ompok', 'pulau', 'masi', 'termasuk', 'kedaulatan', 'ri', 'oleh', 'itu', 'persoalanya', 'harus', 'selesaikan', 'pemerinta', 'pbb', 'tak', 'ikut', 'campur', 'karena', 'dlm', 'penindasan', 'perang', 'justru', 'mrk', 'selalu', 'bikin', 'dan', 'mengganggu', 'masyarakat', 'kkb', 'orang', 'munafik', 'bisa', 'percaya']","['yg', 'papua', 'sa', 'at', 'pengadilan', 'international', 'komplik', 'negara', 'murni', 'kerusuhan', 'pemberontakan', 'negeri', 'ole', 'kel', 'ompok', 'pulau', 'masi', 'kedaulatan', 'ri', 'persoalanya', 'selesaikan', 'pemerinta', 'pbb', 'campur', 'dlm', 'penindasan', 'perang', 'mrk', 'bikin', 'mengganggu', 'masyarakat', 'kkb', 'orang', 'munafik', 'percaya']","['yg', 'papua', 'sa', 'at', 'adil', 'international', 'komplik', 'negara', 'murni', 'rusuh', 'ronta', 'negeri', 'ole', 'kel', 'ompok', 'pulau', 'mas', 'daulat', 'ri', 'persoalanya', 'selesai', 'pemerinta', 'pbb', 'campur', 'dlm', 'tindas', 'perang', 'mrk', 'bikin', 'ganggu', 'masyarakat', 'kkb', 'orang', 'munafik', 'percaya']"
997,Kelamaan ratakan saja mereka,kelamaan ratakan saja mereka,kelamaan ratakan saja mereka,kelamaan ratakan saja mereka,"['kelamaan', 'ratakan', 'saja', 'mereka']",['ratakan'],['rata']
998,Setuju Bantaiii abisin aja udh.. Bikin kacau kedaulatan indonesia ni.,setuju bantaiii abisin aja udh.. bikin kacau kedaulatan indonesia ni.,setuju bantaiii abisin aja udh bikin kacau kedaulatan indonesia ni,setuju bantaiii abisin aja udh bikin kacau kedaulatan indonesia ni,"['setuju', 'bantaiii', 'abisin', 'aja', 'udh', 'bikin', 'kacau', 'kedaulatan', 'indonesia', 'ni']","['setuju', 'bantaiii', 'abisin', 'aja', 'udh', 'bikin', 'kacau', 'kedaulatan', 'indonesia', 'ni']","['tuju', 'bantaiii', 'abisin', 'aja', 'udh', 'bikin', 'kacau', 'daulat', 'indonesia', 'ni']"
999,Serang aja kkb itu dah sindikat teroris...,serang aja kkb itu dah sindikat teroris...,serang aja kkb itu dah sindikat teroris,serang aja kkb itu dah sindikat teroris,"['serang', 'aja', 'kkb', 'itu', 'dah', 'sindikat', 'teroris']","['serang', 'aja', 'kkb', 'dah', 'sindikat', 'teroris']","['serang', 'aja', 'kkb', 'dah', 'sindikat', 'teroris']"
1000,"Salah satu kelompok kriminal berdosa besar, bawa""main politik minta bantuan dari luar yg kasus HAM itu siapa KKB/pemerintah masyarakat.","salah satu kelompok kriminal berdosa besar, bawa""main politik minta bantuan dari luar yg kasus ham itu siapa kkb/pemerintah masyarakat.",salah satu kelompok kriminal berdosa besar bawamain politik minta bantuan dari luar yg kasus ham itu siapa kkbpemerintah masyarakat,salah satu kelompok kriminal berdosa besar bawamain politik minta bantuan dari luar yg kasus ham itu siapa kkbpemerintah masyarakat,"['salah', 'satu', 'kelompok', 'kriminal', 'berdosa', 'besar', 'bawamain', 'politik', 'minta', 'bantuan', 'dari', 'luar', 'yg', 'kasus', 'ham', 'itu', 'siapa', 'kkbpemerintah', 'masyarakat']","['salah', 'kelompok', 'kriminal', 'berdosa', 'bawamain', 'politik', 'bantuan', 'yg', 'ham', 'kkbpemerintah', 'masyarakat']","['salah', 'kelompok', 'kriminal', 'dosa', 'bawamain', 'politik', 'bantu', 'yg', 'ham', 'kkbpemerintah', 'masyarakat']"
1001,"Namanya tukang TEROR ya namanya teroris bloon... KKB jelas"" lebih"" dri teroris itu...","namanya tukang teror ya namanya teroris bloon... kkb jelas"" lebih"" dri teroris itu...",namanya tukang teror ya namanya teroris bloon kkb jelas lebih dri teroris itu,namanya tukang teror ya teroris bloon kkb jelas lebih dri itu,"['namanya', 'tukang', 'teror', 'ya', 'teroris', 'bloon', 'kkb', 'jelas', 'lebih', 'dri', 'itu']","['namanya', 'tukang', 'teror', 'ya', 'teroris', 'bloon', 'kkb', 'dri']","['nama', 'tukang', 'teror', 'ya', 'teroris', 'bloon', 'kkb', 'dri']"
1002,Katanya ingin merdeka ' apa yg diperjuangkan... lagian opm tu ada bangun apa buat papua ? N.o.t.h.i.n.g.... ??? Dr lahir dipapua smpe skrg mn ya,katanya ingin merdeka ' apa yg diperjuangkan... lagian opm tu ada bangun apa buat papua ? n.o.t.h.i.n.g.... ??? dr lahir dipapua smpe skrg mn ya,katanya ingin merdeka  apa yg diperjuangkan lagian opm tu ada bangun apa buat papua  nothing  dr lahir dipapua smpe skrg mn ya,katanya ingin merdeka apa yg diperjuangkan lagian opm tu ada bangun buat papua nothing dr lahir dipapua smpe skrg mn ya,"['katanya', 'ingin', 'merdeka', 'apa', 'yg', 'diperjuangkan', 'lagian', 'opm', 'tu', 'ada', 'bangun', 'buat', 'papua', 'nothing', 'dr', 'lahir', 'dipapua', 'smpe', 'skrg', 'mn', 'ya']","['merdeka', 'yg', 'diperjuangkan', 'opm', 'tu', 'bangun', 'papua', 'nothing', 'dr', 'lahir', 'dipapua', 'smpe', 'skrg', 'mn', 'ya']","['merdeka', 'yg', 'juang', 'opm', 'tu', 'bangun', 'papua', 'nothing', 'dr', 'lahir', 'dipapua', 'smpe', 'skrg', 'mn', 'ya']"
1003,For the motherland,for the motherland,for the motherland,for the motherland,"['for', 'the', 'motherland']","['for', 'the', 'motherland']","['for', 'the', 'motherland']"
1004,"udah salah, nantang dan diumbar
bodohnya kelewatan","udah salah, nantang dan diumbar
bodohnya kelewatan","udah salah nantang dan diumbar
bodohnya kelewatan",udah salah nantang dan diumbar bodohnya kelewatan,"['udah', 'salah', 'nantang', 'dan', 'diumbar', 'bodohnya', 'kelewatan']","['udah', 'salah', 'nantang', 'diumbar', 'bodohnya', 'kelewatan']","['udah', 'salah', 'nantang', 'umbar', 'bodoh', 'lewat']"
1005,"Masak kalah dg Myanmar yg sudah tegas menindak pendemo, dibandingkan kalau kkb teroris papua malah jelas2 mau memisahkan dari NKRI

Hajar terus basmi kkb teroris papua  dan simpatisannya","masak kalah dg myanmar yg sudah tegas menindak pendemo, dibandingkan kalau kkb teroris papua malah jelas2 mau memisahkan dari nkri

hajar terus basmi kkb teroris papua  dan simpatisannya","masak kalah dg myanmar yg sudah tegas menindak pendemo dibandingkan kalau kkb teroris papua malah jelas mau memisahkan dari nkri

hajar terus basmi kkb teroris papua  dan simpatisannya",masak kalah dg myanmar yg sudah tegas menindak pendemo dibandingkan kalau kkb teroris papua malah jelas mau memisahkan dari nkri hajar terus basmi dan simpatisannya,"['masak', 'kalah', 'dg', 'myanmar', 'yg', 'sudah', 'tegas', 'menindak', 'pendemo', 'dibandingkan', 'kalau', 'kkb', 'teroris', 'papua', 'malah', 'jelas', 'mau', 'memisahkan', 'dari', 'nkri', 'hajar', 'terus', 'basmi', 'dan', 'simpatisannya']","['masak', 'kalah', 'dg', 'myanmar', 'yg', 'menindak', 'pendemo', 'dibandingkan', 'kkb', 'teroris', 'papua', 'memisahkan', 'nkri', 'hajar', 'basmi', 'simpatisannya']","['masak', 'kalah', 'dg', 'myanmar', 'yg', 'tindak', 'demo', 'banding', 'kkb', 'teroris', 'papua', 'pisah', 'nkri', 'hajar', 'basmi', 'simpatisan']"
1006,Mmng teroris klo udah nyerang warga sipil mah bumi hanguskan aja udah bikin resah.,mmng teroris klo udah nyerang warga sipil mah bumi hanguskan aja udah bikin resah.,mmng teroris klo udah nyerang warga sipil mah bumi hanguskan aja udah bikin resah,mmng teroris klo udah nyerang warga sipil mah bumi hanguskan aja bikin resah,"['mmng', 'teroris', 'klo', 'udah', 'nyerang', 'warga', 'sipil', 'mah', 'bumi', 'hanguskan', 'aja', 'bikin', 'resah']","['mmng', 'teroris', 'klo', 'udah', 'nyerang', 'warga', 'sipil', 'mah', 'bumi', 'hanguskan', 'aja', 'bikin', 'resah']","['mmng', 'teroris', 'klo', 'udah', 'nyerang', 'warga', 'sipil', 'mah', 'bumi', 'hangus', 'aja', 'bikin', 'resah']"
1007,Yeeee hahaha dasar Kkb,yeeee hahaha dasar kkb,yeeee hahaha dasar kkb,yeeee hahaha dasar kkb,"['yeeee', 'hahaha', 'dasar', 'kkb']","['yeeee', 'hahaha', 'dasar', 'kkb']","['yeeee', 'hahaha', 'dasar', 'kkb']"
1008,"Lah anda tidak suka disebut teroris?,trus ngapain anda bunuh warga,sama menetang negara?","lah anda tidak suka disebut teroris?,trus ngapain anda bunuh warga,sama menetang negara?",lah anda tidak suka disebut teroristrus ngapain anda bunuh wargasama menetang negara,lah anda tidak suka disebut teroristrus ngapain bunuh wargasama menetang negara,"['lah', 'anda', 'tidak', 'suka', 'disebut', 'teroristrus', 'ngapain', 'bunuh', 'wargasama', 'menetang', 'negara']","['suka', 'teroristrus', 'ngapain', 'bunuh', 'wargasama', 'menetang', 'negara']","['suka', 'teroristrus', 'ngapain', 'bunuh', 'wargasama', 'menetang', 'negara']"
1009,1 r m s. Terorris.   Rms. Bubar Maluku. Aman.   2. G a m  teroris. G a. M.  Bubar. Aceh. Aman.  3. O p m teroris. O p m. Buba,1 r m s. terorris.   rms. bubar maluku. aman.   2. g a m  teroris. g a. m.  bubar. aceh. aman.  3. o p m teroris. o p m. buba, r m s terorris   rms bubar maluku aman    g a m  teroris g a m  bubar aceh aman   o p m teroris o p m buba,r m s terorris rms bubar maluku aman g a teroris aceh o p buba,"['r', 'm', 's', 'terorris', 'rms', 'bubar', 'maluku', 'aman', 'g', 'a', 'teroris', 'aceh', 'o', 'p', 'buba']","['r', 'm', 's', 'terorris', 'rms', 'bubar', 'maluku', 'aman', 'g', 'teroris', 'aceh', 'o', 'p', 'buba']","['r', 'm', 's', 'terorris', 'rms', 'bubar', 'malu', 'aman', 'g', 'teroris', 'aceh', 'o', 'p', 'buba']"
1010,Bantaii lahh mereka para perusuh bangsa  ini pak..,bantaii lahh mereka para perusuh bangsa  ini pak..,bantaii lahh mereka para perusuh bangsa  ini pak,bantaii lahh mereka para perusuh bangsa ini pak,"['bantaii', 'lahh', 'mereka', 'para', 'perusuh', 'bangsa', 'ini', 'pak']","['bantaii', 'lahh', 'perusuh', 'bangsa']","['bantai', 'lahh', 'rusuh', 'bangsa']"
1011,Ini tetris ektrimis opm,ini tetris ektrimis opm,ini tetris ektrimis opm,ini tetris ektrimis opm,"['ini', 'tetris', 'ektrimis', 'opm']","['tetris', 'ektrimis', 'opm']","['tetris', 'ektrimis', 'opm']"
1012,"Sikat abislah gausa banyak cingcong, uda jelas meresahkan warga.","sikat abislah gausa banyak cingcong, uda jelas meresahkan warga.",sikat abislah gausa banyak cingcong uda jelas meresahkan warga,sikat abislah gausa banyak cingcong uda jelas meresahkan warga,"['sikat', 'abislah', 'gausa', 'banyak', 'cingcong', 'uda', 'jelas', 'meresahkan', 'warga']","['sikat', 'abislah', 'gausa', 'cingcong', 'uda', 'meresahkan', 'warga']","['sikat', 'abis', 'gausa', 'cingcong', 'uda', 'resah', 'warga']"
1013,oh gitu???? sekate-kate,oh gitu???? sekate-kate,oh gitu sekatekate,oh gitu sekatekate,"['oh', 'gitu', 'sekatekate']","['oh', 'gitu', 'sekatekate']","['oh', 'gitu', 'sekatekate']"
1014,"Gatel liat dislike nya yg berjumlah ""999"" jadi aink genapin 1000 :V","gatel liat dislike nya yg berjumlah ""999"" jadi aink genapin 1000 :v",gatel liat dislike nya yg berjumlah  jadi aink genapin  v,gatel liat dislike nya yg berjumlah jadi aink genapin v,"['gatel', 'liat', 'dislike', 'nya', 'yg', 'berjumlah', 'jadi', 'aink', 'genapin', 'v']","['gatel', 'liat', 'dislike', 'nya', 'yg', 'aink', 'genapin', 'v']","['gatel', 'liat', 'dislike', 'nya', 'yg', 'aink', 'genapin', 'v']"
1015,Kali ini enyahkan HAM......heran sama KKB ,kali ini enyahkan ham......heran sama kkb ,kali ini enyahkan hamheran sama kkb ,kali ini enyahkan hamheran sama kkb,"['kali', 'ini', 'enyahkan', 'hamheran', 'sama', 'kkb']","['kali', 'enyahkan', 'hamheran', 'kkb']","['kali', 'enyah', 'hamheran', 'kkb']"
1016,Teroris mereka... Udh ngebunuh org tag bersalah...  Musnahkan teroris Papua merdeka,teroris mereka... udh ngebunuh org tag bersalah...  musnahkan teroris papua merdeka,teroris mereka udh ngebunuh org tag bersalah  musnahkan teroris papua merdeka,teroris mereka udh ngebunuh org tag bersalah musnahkan papua merdeka,"['teroris', 'mereka', 'udh', 'ngebunuh', 'org', 'tag', 'bersalah', 'musnahkan', 'papua', 'merdeka']","['teroris', 'udh', 'ngebunuh', 'org', 'tag', 'bersalah', 'musnahkan', 'papua', 'merdeka']","['teroris', 'udh', 'ngebunuh', 'org', 'tag', 'salah', 'musnah', 'papua', 'merdeka']"
1017,O p m teroris. O p m bubar. Papua pasti aman. Kan  o p m  belum bubar. Belum aman,o p m teroris. o p m bubar. papua pasti aman. kan  o p m  belum bubar. belum aman,o p m teroris o p m bubar papua pasti aman kan  o p m  belum bubar belum aman,o p m teroris bubar papua pasti aman kan belum,"['o', 'p', 'm', 'teroris', 'bubar', 'papua', 'pasti', 'aman', 'kan', 'belum']","['o', 'p', 'm', 'teroris', 'bubar', 'papua', 'aman']","['o', 'p', 'm', 'teroris', 'bubar', 'papua', 'aman']"
1018,"wwwoooowww baru tahu,ternyata anggota kkb khusus nya lukius atau siapalah nama nya si penghianat itu,ternyata mereka semua terlahir dari inses dan ibu2 mereka yg bekas psk,,,,,pantas anggota kkb itu sipat nya berkhianat,,,,,klo berani perang terbuka,,,,anak2 para psk,,,,,","wwwoooowww baru tahu,ternyata anggota kkb khusus nya lukius atau siapalah nama nya si penghianat itu,ternyata mereka semua terlahir dari inses dan ibu2 mereka yg bekas psk,,,,,pantas anggota kkb itu sipat nya berkhianat,,,,,klo berani perang terbuka,,,,anak2 para psk,,,,,",wwwoooowww baru tahuternyata anggota kkb khusus nya lukius atau siapalah nama nya si penghianat ituternyata mereka semua terlahir dari inses dan ibu mereka yg bekas pskpantas anggota kkb itu sipat nya berkhianatklo berani perang terbukaanak para psk,wwwoooowww baru tahuternyata anggota kkb khusus nya lukius atau siapalah nama si penghianat ituternyata mereka semua terlahir dari inses dan ibu yg bekas pskpantas itu sipat berkhianatklo berani perang terbukaanak para psk,"['wwwoooowww', 'baru', 'tahuternyata', 'anggota', 'kkb', 'khusus', 'nya', 'lukius', 'atau', 'siapalah', 'nama', 'si', 'penghianat', 'ituternyata', 'mereka', 'semua', 'terlahir', 'dari', 'inses', 'dan', 'ibu', 'yg', 'bekas', 'pskpantas', 'itu', 'sipat', 'berkhianatklo', 'berani', 'perang', 'terbukaanak', 'para', 'psk']","['wwwoooowww', 'tahuternyata', 'anggota', 'kkb', 'khusus', 'nya', 'lukius', 'siapalah', 'nama', 'si', 'penghianat', 'ituternyata', 'terlahir', 'inses', 'yg', 'bekas', 'pskpantas', 'sipat', 'berkhianatklo', 'berani', 'perang', 'terbukaanak', 'psk']","['wwwoooowww', 'tahuternyata', 'anggota', 'kkb', 'khusus', 'nya', 'lukius', 'siapa', 'nama', 'si', 'penghianat', 'ituternyata', 'lahir', 'inses', 'yg', 'bekas', 'pskpantas', 'sipat', 'berkhianatklo', 'berani', 'perang', 'terbukaanak', 'psk']"
1019,"Ya benar mereja pengscsu harus ditumpas habis,tanoa kompromi lagi.","ya benar mereja pengscsu harus ditumpas habis,tanoa kompromi lagi.",ya benar mereja pengscsu harus ditumpas habistanoa kompromi lagi,ya benar mereja pengscsu harus ditumpas habistanoa kompromi lagi,"['ya', 'benar', 'mereja', 'pengscsu', 'harus', 'ditumpas', 'habistanoa', 'kompromi', 'lagi']","['ya', 'mereja', 'pengscsu', 'ditumpas', 'habistanoa', 'kompromi']","['ya', 'reja', 'pengscsu', 'tumpas', 'habistanoa', 'kompromi']"
1020,"Kita (Netizen) gak tau apa-apa, sebaiknya kita gak komen yg aneh2 cukup dalam hati. Tapi seperti yg dikatakan diatas bahwa sebagian besar orang Papua pro NKRI, sedangkan OPM hanya menginginkan pangkat dan kekuasaan....","kita (netizen) gak tau apa-apa, sebaiknya kita gak komen yg aneh2 cukup dalam hati. tapi seperti yg dikatakan diatas bahwa sebagian besar orang papua pro nkri, sedangkan opm hanya menginginkan pangkat dan kekuasaan....",kita netizen gak tau apaapa sebaiknya kita gak komen yg aneh cukup dalam hati tapi seperti yg dikatakan diatas bahwa sebagian besar orang papua pro nkri sedangkan opm hanya menginginkan pangkat dan kekuasaan,kita netizen gak tau apaapa sebaiknya komen yg aneh cukup dalam hati tapi seperti dikatakan diatas bahwa sebagian besar orang papua pro nkri sedangkan opm hanya menginginkan pangkat dan kekuasaan,"['kita', 'netizen', 'gak', 'tau', 'apaapa', 'sebaiknya', 'komen', 'yg', 'aneh', 'cukup', 'dalam', 'hati', 'tapi', 'seperti', 'dikatakan', 'diatas', 'bahwa', 'sebagian', 'besar', 'orang', 'papua', 'pro', 'nkri', 'sedangkan', 'opm', 'hanya', 'menginginkan', 'pangkat', 'dan', 'kekuasaan']","['netizen', 'gak', 'tau', 'apaapa', 'komen', 'yg', 'aneh', 'hati', 'diatas', 'orang', 'papua', 'pro', 'nkri', 'opm', 'pangkat', 'kekuasaan']","['netizen', 'gak', 'tau', 'apaapa', 'komen', 'yg', 'aneh', 'hati', 'atas', 'orang', 'papua', 'pro', 'nkri', 'opm', 'pangkat', 'kuasa']"
